word,count
pleasure,195
ho,195
friar,195
kings,194
uncle,194
seem,193
years,193
watch,193
kent,193
canst,192
serve,192
bound,191
goes,191
praise,190
sake,190
side,190
ground,189
something,189
tonight,189
prithee,189
didst,188
maid,188
citizen,188
mercy,187
sad,186
need,186
doubt,186
warrant,186
pericles,185
heavy,185
either,185
money,184
ephesus,184
hate,183
rich,183
trust,183
next,183
certain,183
pistol,183
themselves,182
captain,182
ears,182
pandarus,182
command,181
cressida,180
having,180
cut,180
fit,180
sons,180
ah,179
sin,179
hard,179
portia,179
merry,178
born,178
princess,178
almost,177
weep,177
hang,177
content,176
brave,176
v,176
behold,175
course,175
haste,175
foot,175
worse,175
open,174
fault,174
thanks,174
lips,174
anne,174
black,173
over,173
parolles,173
women,173
heavens,173
hot,172
base,172
wise,172
truly,171
ask,171
knew,169
theseus,169
took,168
voice,168
sick,168
strike,168
let’s,168
ne’er,167
straight,167
stands,167
father’s,167
english,166
gives,166
unless,166
today,166
enemy,166
paris,165
demetrius,165
change,164
knave,164
orlando,164
deep,163
deed,163
country,162
coming,162
drink,162
imogen,162
talbot,162
leonato,162
sing,161
o’er,161
ten,160
note,160
white,160
duty,160
woe,160
revenge,160
knight,160
ring,160
castle,160
london,160
northumberland,160
achilles,160
common,159
highness,159
isabella,159
yield,158
spoke,158
door,158
past,157
question,157
tender,156
oft,156
above,156
valiant,156
attendants,156
fie,156
pedro,156
beatrice,156
needs,155
lest,155
lead,155
soon,155
ladies,155
twenty,155
presently,155
person,155
reenter,155
katharine,155
hours,154
ready,154
horatio,154
married,153
here’s,153
bold,153
become,153
oath,153
enobarbus,153
pay,152
methinks,152
report,152
earl,152
hark,151
em,151
want,150
pass,150
just,150
edmund,150
hastings,150
eat,149
grow,149
sovereign,149
already,149
withal,149
’t,149
arm,149
pale,148
suit,148
prospero,147
four,146
point,146
wars,146
host,146
bolingbroke,146
salisbury,146
leontes,146
sirrah,145
thats,145
somerset,145
julia,145
fell,144
wherein,144
water,144
dog,144
olivia,144
met,143
marcius,143
is’t,142
doctor,142
cardinal,142
wherefore,141
flesh,141
spirits,141
capulet,141
tranio,141
appear,140
fare,140
deny,139
wouldst,139
glad,139
marcus,139
favour,138
city,138
sicinius,138
viola,138
rage,137
slain,137
plain,137
office,137
morning,136
soft,136
bertram,136
liege,136
sebastian,136
speaks,136
slave,135
edgar,135
strength,134
pretty,134
seems,134
sworn,134
mouth,134
chamber,134
signior,134
murderer,134
clifford,134
fast,133
takes,133
speech,133
fortunes,133
lucio,133
apemantus,133
anon,132
sense,132
bad,132
morrow,132
sport,132
traitor,132
hostess,132
roman,132
living,131
bosom,131
often,131
moon,131
guard,131
whole,131
letters,131
caius,131
counsel,130
honourable,130
beat,130
five,129
wonder,129
conscience,129
norfolk,129
behind,128
witness,128
flourish,128
walk,128
saint,128
posthumus,128
loss,127
excellent,127
got,127
masters,127
lets,126
write,126
pride,126
loving,126
march,126
win,126
touch,126
street,126
fetch,126
celia,126
town,126
dream,125
deeds,125
confess,125
she’s,125
ajax,125
malvolio,125
silvia,125
souls,124
attend,124
hotspur,124
thersites,124
whilst,123
force,123
vile,123
armado,123
camillo,123
begin,122
king’s,122
countess,122
de,122
charles,122
lucentio,122
parts,121
longer,121
princes,121
hair,121
camp,121
battle,121
hes,121
bassanio,121
passion,120
lordship,120
polonius,120
costard,120
hortensio,120
breast,119
dull,119
action,119
along,119
elizabeth,119
shows,118
hide,118
weak,118
teach,118
hundred,118
lafew,118
servants,118
brothers,118
andrew,118
offence,117
simple,117
marriage,117
prison,117
ourselves,117
mighty,117
hero,117
duchess,117
dies,116
green,116
besides,116
anything,116
close,116
murder,116
ulysses,116
maria,116
provost,116
grant,115
least,115
issue,115
chance,115
died,115
silence,115
harry,115
tale,114
form,114
short,114
going,114
children,114
quoth,114
heads,114
noise,114
entreat,114
self,113
lend,113
case,113
fathers,113
troy,113
kept,112
presence,112
shake,112
bears,112
herself,112
officer,112
lancaster,112
bianca,112
katherina,112
pluck,111
curse,111
shepherd,111
cymbeline,110
heir,110
mortal,110
worst,110
enemies,110
fools,110
bless,110
tent,110
macduff,110
writ,109
man’s,109
promise,109
faults,109
whether,109
health,109
feast,109
cast,109
went,109
buy,109
stood,109
baptista,109
stop,108
widow,108
toward,108
feel,108
quick,108
throw,108
valour,108
jest,108
danger,108
theres,108
slender,108
kate,108
respect,107
angry,107
drum,107
doe,107
evans,107
count,106
golden,106
low,106
subject,106
hadst,106
choose,106
dangerous,106
deliver,106
regan,106
chief,105
beg,105
charmian,105
cloten,105
laertes,105
shylock,105
roderigo,105
title,104
fine,104
blow,104
’twas,104
troth,104
cominius,104
scorn,103
paper,103
move,103
humour,103
army,103
bottom,103
pisanio,103
fresh,102
thence,102
adieu,102
hurt,102
understand,102
marina,102
fashion,101
consent,101
greater,101
won,101
commend,101
whats,101
boyet,101
moth,101
lysander,101
calls,100
perceive,100
virtuous,100
foolish,100
dauphin,100
wolsey,100
gratiano,100
terms,99
measure,99
small,99
wert,99
gates,99
plague,99
receive,99
treason,99
call’d,99
awhile,99
labour,99
poins,99
sorry,98
lack,98
red,98
taken,98
laid,98
citizens,98
escalus,98
hermia,98
pure,97
fled,97
thither,97
lion,97
harm,97
whither,97
offer,97
aufidius,97
exeter,97
cade,97
learn,96
hearing,96
forward,96
order,96
quarrel,96
iachimo,96
grumio,96
aaron,96
project,95
wisdom,95
among,95
alive,95
forget,95
kingdom,95
carry,95
prayers,95
worship,95
you’ll,95
honours,95
piece,95
percy,95
shape,94
brief,94
glory,94
book,94
fearful,94
rise,94
god’s,94
wounds,94
hubert,94
forgot,93
coward,93
try,93
ours,93
witch,93
judge,93
agamemnon,93
rosaline,93
gremio,93
sometime,92
view,92
dark,92
cheeks,92
officers,92
ariel,92
bright,91
making,91
held,91
beard,91
birth,91
blame,91
taste,91
wild,91
several,91
feed,91
pains,91
laugh,91
william,90
athens,90
weary,90
year,90
blessed,90
shadow,90
whence,90
mock,90
patient,90
grey,90
wast,90
emperor,90
senator,90
stephano,90
quite,89
walls,89
holds,89
drawn,89
vow,89
broke,89
vain,89
trumpet,89
touchstone,89
bawd,89
adriana,89
fluellen,89
tamora,89
borne,88
steal,88
wits,88
falls,88
honesty,88
wine,88
ass,88
prisoner,87
blind,87
cheek,87
suffer,87
fame,87
colour,87
stir,87
smile,87
trumpets,87
opinion,87
round,87
sings,86
quiet,86
tear,86
wound,86
excuse,86
motion,86
whereof,86
goodly,86
wood,86
’twere,86
boys,86
where’s,86
diomedes,86
belarius,86
ophelia,86
burn,85
dance,85
jaques,85
westmoreland,85
burgundy,85
montague,85
polixenes,85
moor,84
due,84
folly,84
bones,84
although,84
double,84
manner,84
dinner,84
ancient,84
caesar’s,84
safe,84
peter,84
stars,83
bearing,83
fears,83
ghost,83
guilty,83
poison,83
powers,83
match,83
mercutio,83
launce,83
paulina,83
brow,82
song,82
grows,82
precious,82
tongues,82
brain,82
constable,82
desires,82
purse,82
sudden,82
princely,82
brook,82
tower,82
’gainst,81
knowledge,81
cunning,81
alack,81
foes,81
liberty,81
struck,81
wretched,81
obey,81
alarum,81
jack,81
aeneas,81
lorenzo,81
launcelet,81
leaves,80
flowers,80
rough,80
awake,80
owe,80
drop,80
affection,80
wales,80
orleans,80
goneril,80
love’s,79
shouldst,79
keeps,79
trouble,79
until,79
bitter,79
woo,79
ways,79
embrace,79
he’ll,79
rogue,79
benvolio,79
ile,79
1,78
rose,78
lo,78
heat,78
silver,78
aught,78
forgive,78
beast,78
story,78
endure,78
diana,78
lov’d,78
reads,78
rosencrantz,78
mortimer,78
pucelle,78
cornwall,78
venice,77
cries,77
pain,77
sharp,77
judgment,77
proof,77
neck,77
choice,77
courage,77
scarce,77
jove,77
swords,77
blows,77
forest,77
rude,76
creature,76
approach,76
la,76
autolycus,76
forbid,75
public,75
wealth,75
dry,75
delight,75
wrongs,75
large,75
towards,75
advantage,75
spent,75
cheer,75
catch,75
lust,75
bond,75
helen,75
legs,75
priest,75
greatness,75
throne,75
whiles,75
garden,75
guiderius,75
plantagenet,75
keeper,75
spring,74
private,74
thunder,74
remain,74
manners,74
swift,74
melancholy,74
fill,74
proceed,74
amen,74
doing,74
wanton,74
twice,74
yourselves,74
train,74
occasion,74
cried,74
chamberlain,74
archbishop,74
casca,74
fabian,74
foe,73
spend,73
effect,73
sometimes,73
fury,73
heels,73
led,73
post,73
lieutenant,73
defend,73
depart,72
mayst,72
secret,72
blunt,72
sort,72
idle,72
steel,72
vows,72
safety,72
fellows,72
ones,72
lepidus,72
seven,72
thomas,72
dumain,72
aumerle,72
catesby,72
lavinia,72
cruel,71
2,71
glass,71
seal,71
thief,71
argument,71
few,71
food,71
oaths,71
on’t,71
yonder,71
kill’d,71
malice,71
christian,71
gower,71
ross,71
biondello,71
caliban,71
thurio,71
heavenly,70
prepare,70
paid,70
cross,70
clear,70
bids,70
becomes,70
loud,70
fought,70
meat,70
courtesy,70
knock,70
hail,70
fat,70
twas,70
wall,70
